alpha,beta,gamma,tau,scf_bc
4,0.2,8,0.2,1.335991184
13,0.2,8,0.2,1.300726425
22,0.2,8,0.2,1.300985025
31,0.2,8,0.2,1.300949162
40,0.2,8,0.2,1.301152469
4,0.3,8,0.2,3.389330333
13,0.3,8,0.2,3.543680539
22,0.3,8,0.2,3.544083088
31,0.3,8,0.2,3.54399447
40,0.3,8,0.2,3.543980214
4,0.4,8,0.2,2.661424928
13,0.4,8,0.2,2.504625845
22,0.4,8,0.2,2.504845599
31,0.4,8,0.2,2.504857372
40,0.4,8,0.2,2.505072726
4,0.5,8,0.2,2.578253993
13,0.5,8,0.2,2.242210527
22,0.5,8,0.2,2.237752456
31,0.5,8,0.2,2.237748348
40,0.5,8,0.2,2.237796381
4,0.6,8,0.2,4.125501988
13,0.6,8,0.2,2.056300752
22,0.6,8,0.2,2.044448896
31,0.6,8,0.2,2.044345439
40,0.6,8,0.2,2.04431716
4,0.7,8,0.2,4.163062922
13,0.7,8,0.2,1.95872678
22,0.7,8,0.2,1.944884148
31,0.7,8,0.2,1.941917133
40,0.7,8,0.2,1.941921575
4,0.2,20,0.2,3.033989562
13,0.2,20,0.2,3.212190206
22,0.2,20,0.2,3.222257049
31,0.2,20,0.2,3.223261197
40,0.2,20,0.2,3.222965105
4,0.3,20,0.2,3.335189177
13,0.3,20,0.2,2.915681625
22,0.3,20,0.2,2.926278345
31,0.3,20,0.2,2.927123724
40,0.3,20,0.2,2.927158668
4,0.4,20,0.2,10.52746162
13,0.4,20,0.2,2.513201918
22,0.4,20,0.2,2.494125861
31,0.4,20,0.2,2.49455318
40,0.4,20,0.2,2.494605582
4,0.5,20,0.2,12.6938783
13,0.5,20,0.2,2.226874662
22,0.5,20,0.2,2.191777628
31,0.5,20,0.2,2.186926553
40,0.5,20,0.2,2.186941461
4,0.6,20,0.2,2.432019822
13,0.6,20,0.2,2.254547488
22,0.6,20,0.2,2.073434785
31,0.6,20,0.2,2.047350417
40,0.6,20,0.2,2.045539072
4,0.7,20,0.2,2.061054368
13,0.7,20,0.2,2.575398551
22,0.7,20,0.2,2.030783161
31,0.7,20,0.2,2.010925501
40,0.7,20,0.2,1.995965659
4,0.2,32,0.2,3.176024369
13,0.2,32,0.2,3.004133823
22,0.2,32,0.2,3.039361578
31,0.2,32,0.2,3.040834822
40,0.2,32,0.2,3.039527659
4,0.3,32,0.2,4.150988442
13,0.3,32,0.2,2.616999047
22,0.3,32,0.2,2.623406004
31,0.3,32,0.2,2.623385323
40,0.3,32,0.2,2.623958012
4,0.4,32,0.2,19.38764499
13,0.4,32,0.2,2.035673363
22,0.4,32,0.2,1.960195098
31,0.4,32,0.2,1.956925549
40,0.4,32,0.2,1.956829161
4,0.5,32,0.2,24.72345123
13,0.5,32,0.2,1.947745116
22,0.5,32,0.2,1.777406264
31,0.5,32,0.2,1.743918622
40,0.5,32,0.2,1.742423585
4,0.6,32,0.2,2.028451873
