alpha,beta,gamma,tau,scf_cc
4,0.2,8,0.2,0.720713164
13,0.2,8,0.2,0.858096863
22,0.2,8,0.2,0.858019643
31,0.2,8,0.2,0.857328942
40,0.2,8,0.2,0.857339149
4,0.3,8,0.2,0.886447413
13,0.3,8,0.2,0.959203962
22,0.3,8,0.2,0.958327681
31,0.3,8,0.2,0.957776674
40,0.3,8,0.2,0.957477113
4,0.4,8,0.2,0.946342627
13,0.4,8,0.2,0.960170463
22,0.4,8,0.2,0.958887238
31,0.4,8,0.2,0.958162435
40,0.4,8,0.2,0.957775811
4,0.5,8,0.2,0.964197831
13,0.5,8,0.2,0.905791623
22,0.5,8,0.2,0.903188239
31,0.5,8,0.2,0.902311908
40,0.5,8,0.2,0.901831899
4,0.6,8,0.2,1.03998751
13,0.6,8,0.2,0.819915142
22,0.6,8,0.2,0.815369619
31,0.6,8,0.2,0.814382615
40,0.6,8,0.2,0.813855985
4,0.7,8,0.2,1.025293322
13,0.7,8,0.2,0.745378325
22,0.7,8,0.2,0.739859742
31,0.7,8,0.2,0.738106128
40,0.7,8,0.2,0.737537841
4,0.2,20,0.2,1.330705016
13,0.2,20,0.2,1.492464544
22,0.2,20,0.2,1.464928999
31,0.2,20,0.2,1.46555157
40,0.2,20,0.2,1.46529763
4,0.3,20,0.2,1.437682694
13,0.3,20,0.2,1.279130942
22,0.3,20,0.2,1.224729715
31,0.3,20,0.2,1.225109931
40,0.3,20,0.2,1.224722728
4,0.4,20,0.2,1.83331735
13,0.4,20,0.2,1.139020578
22,0.4,20,0.2,1.055606454
31,0.4,20,0.2,1.055675807
40,0.4,20,0.2,1.05511626
4,0.5,20,0.2,2.088506269
13,0.5,20,0.2,1.052220508
22,0.5,20,0.2,0.952581158
31,0.5,20,0.2,0.9509618
40,0.5,20,0.2,0.950269523
4,0.6,20,0.2,1.417840032
13,0.6,20,0.2,1.009083144
22,0.6,20,0.2,0.877997762
31,0.6,20,0.2,0.871076048
40,0.6,20,0.2,0.869848884
4,0.7,20,0.2,1.345816757
13,0.7,20,0.2,1.038613599
22,0.7,20,0.2,0.810115431
31,0.7,20,0.2,0.804744087
40,0.7,20,0.2,0.800327204
4,0.2,32,0.2,1.595965509
13,0.2,32,0.2,1.595249491
22,0.2,32,0.2,1.465686933
31,0.2,32,0.2,1.460904148
40,0.2,32,0.2,1.461164471
4,0.3,32,0.2,1.931138768
13,0.3,32,0.2,1.345160252
22,0.3,32,0.2,1.088683046
31,0.3,32,0.2,1.08074918
40,0.3,32,0.2,1.080277629
4,0.4,32,0.2,2.726570461
13,0.4,32,0.2,1.317901105
22,0.4,32,0.2,0.96878158
31,0.4,32,0.2,0.958052053
40,0.4,32,0.2,0.957190048
4,0.5,32,0.2,3.040394475
13,0.5,32,0.2,1.363854229
22,0.5,32,0.2,0.951809533
31,0.5,32,0.2,0.932970893
40,0.5,32,0.2,0.931591287
4,0.6,32,0.2,1.744969099
13,0.6,32,0.2,1.472620325
22,0.6,32,0.2,0.934861808
31,0.6,32,0.2,0.917847148
40,0.6,32,0.2,0.912355225
4,0.7,32,0.2,2.908134755
13,0.7,32,0.2,1.616368497
22,0.7,32,0.2,0.890432953
31,0.7,32,0.2,0.890432953
40,0.7,32,0.2,0.890432953
4,0.2,8,0.4,1.647873251
13,0.2,8,0.4,1.760184296
22,0.2,8,0.4,1.758726528
31,0.2,8,0.4,1.75776571
40,0.2,8,0.4,1.757636252
4,0.3,8,0.4,1.717745531
13,0.3,8,0.4,1.801727186
22,0.3,8,0.4,1.799482683
31,0.3,8,0.4,1.798198858
40,0.3,8,0.4,1.797592522
4,0.4,8,0.4,1.697564655
13,0.4,8,0.4,1.661322568
22,0.4,8,0.4,1.65816126
31,0.4,8,0.4,1.656449217
40,0.4,8,0.4,1.655506037
4,0.5,8,0.4,1.696791326
13,0.5,8,0.4,1.455312701
22,0.5,8,0.4,1.451140727
31,0.5,8,0.4,1.449025957
40,0.5,8,0.4,1.447983883
4,0.6,8,0.4,1.692222659
13,0.6,8,0.4,1.251126418
22,0.6,8,0.4,1.245240001
31,0.6,8,0.4,1.242969451
40,0.6,8,0.4,1.241805078
4,0.7,8,0.4,1.641703183
13,0.7,8,0.4,1.059399855
22,0.7,8,0.4,1.050477943
31,0.7,8,0.4,1.048162574
40,0.7,8,0.4,1.04695285
4,0.2,20,0.4,2.532666046
13,0.2,20,0.4,2.721494391
22,0.2,20,0.4,2.650153404
31,0.2,20,0.4,2.650848319
40,0.2,20,0.4,2.650400363
4,0.3,20,0.4,2.393009781
13,0.3,20,0.4,2.036998528
22,0.3,20,0.4,1.901578525
31,0.3,20,0.4,1.901573714
40,0.3,20,0.4,1.900509062
4,0.4,20,0.4,2.636591607
13,0.4,20,0.4,1.588128999
22,0.4,20,0.4,1.40196799
31,0.4,20,0.4,1.400968378
40,0.4,20,0.4,1.399737454
4,0.5,20,0.4,2.77975632
13,0.5,20,0.4,1.383127694
22,0.5,20,0.4,1.1641841
31,0.5,20,0.4,1.162719437
40,0.5,20,0.4,1.16107274
4,0.6,20,0.4,3.264901197
13,0.6,20,0.4,1.302749111
22,0.6,20,0.4,1.318235624
31,0.6,20,0.4,1.319311208
40,0.6,20,0.4,1.319278969
4,0.7,20,0.4,3.813270198
13,0.7,20,0.4,0.782579064
22,0.7,20,0.4,0.803721337
31,0.7,20,0.4,0.809871084
40,0.7,20,0.4,0.961678432
4,0.2,32,0.4,2.777928683
13,0.2,32,0.4,2.766962065
22,0.2,32,0.4,2.429809566
31,0.2,32,0.4,1.144275062
40,0.2,32,0.4,2.418133768
4,0.3,32,0.4,2.946504838
13,0.3,32,0.4,2.023379604
22,0.3,32,0.4,1.404137858
31,0.3,32,0.4,1.386039457
40,0.3,32,0.4,1.384209084
4,0.4,32,0.4,1.136353135
13,0.4,32,0.4,1.912590672
22,0.4,32,0.4,4.536489089
31,0.4,32,0.4,1.093591643
40,0.4,32,0.4,1.091439968
4,0.5,32,0.4,3.543270565
13,0.5,32,0.4,2.014284231
22,0.5,32,0.4,1.148392695
31,0.5,32,0.4,1.124091657
40,0.5,32,0.4,1.121510062
4,0.6,32,0.4,5.185227037
13,0.6,32,0.4,2.061963218
22,0.6,32,0.4,1.206425904
31,0.6,32,0.4,1.17699229
40,0.6,32,0.4,1.173896627
4,0.7,32,0.4,3.166930469
13,0.7,32,0.4,2.019290896
22,0.7,32,0.4,1.17834975
31,0.7,32,0.4,1.148032825
40,0.7,32,0.4,1.143002202
4,0.2,8,0.6,2.234928048
13,0.2,8,0.6,2.345075068
22,0.2,8,0.6,2.342823125
31,0.2,8,0.6,2.341465077
40,0.2,8,0.6,2.340717853
4,0.3,8,0.6,2.471047949
13,0.3,8,0.6,2.535091491
22,0.3,8,0.6,2.531072067
31,0.3,8,0.6,2.528957135
40,0.3,8,0.6,2.527760238
4,0.4,8,0.6,2.45380521
13,0.4,8,0.6,2.370675003
22,0.4,8,0.6,2.364602091
31,0.4,8,0.6,2.361912822
40,0.4,8,0.6,2.360290485
4,0.5,8,0.6,2.382943311
13,0.5,8,0.6,2.052399518
22,0.5,8,0.6,2.044794242
31,0.5,8,0.6,2.041306511
40,0.5,8,0.6,2.039442046
4,0.6,8,0.6,2.32621435
13,0.6,8,0.6,1.704919117
22,0.6,8,0.6,1.696193348
31,0.6,8,0.6,1.692292186
40,0.6,8,0.6,1.690187402
4,0.7,8,0.6,2.254599814
13,0.7,8,0.6,1.376374796
22,0.7,8,0.6,1.365793184
31,0.7,8,0.6,1.361829858
40,0.7,8,0.6,1.359660671
4,0.2,20,0.6,3.832439317
13,0.2,20,0.6,4.061079398
22,0.2,20,0.6,3.943207463
31,0.2,20,0.6,3.944274466
40,0.2,20,0.6,4.78710964
4,0.3,20,0.6,3.506802031
13,0.3,20,0.6,3.069572292
22,0.3,20,0.6,2.854026065
31,0.3,20,0.6,2.853744574
40,0.3,20,0.6,2.852009596
4,0.4,20,0.6,3.615260222
13,0.4,20,0.6,2.279003883
22,0.4,20,0.6,1.986667876
31,0.4,20,0.6,1.984964067
40,0.4,20,0.6,1.982594567
4,0.5,20,0.6,3.845200126
13,0.5,20,0.6,1.848017405
22,0.5,20,0.6,1.517080362
31,0.5,20,0.6,1.514405913
40,0.5,20,0.6,1.511611522
4,0.6,20,0.6,3.178247829
13,0.6,20,0.6,1.609021823
22,0.6,20,0.6,1.276573722
31,0.6,20,0.6,1.27322201
40,0.6,20,0.6,1.270212677
4,0.7,20,0.6,4.715647439
13,0.7,20,0.6,1.413217444
22,0.7,20,0.6,1.12100817
31,0.7,20,0.6,1.116256956
40,0.7,20,0.6,1.113226815
4,0.2,32,0.6,4.350435378
13,0.2,32,0.6,4.351770003
22,0.2,32,0.6,3.821821781
31,0.2,32,0.6,3.804433282
40,0.2,32,0.6,3.803283509
4,0.3,32,0.6,4.082448531
13,0.3,32,0.6,3.083456357
22,0.3,32,0.6,2.124727589
31,0.3,32,0.6,2.096366106
40,0.3,32,0.6,2.09337041
4,0.4,32,0.6,4.683332757
13,0.4,32,0.6,2.683244274
22,0.4,32,0.6,1.444979748
31,0.4,32,0.6,1.409738936
40,0.4,32,0.6,1.405335594
4,0.5,32,0.6,5.004172037
13,0.5,32,0.6,2.680827808
22,0.5,32,0.6,1.333650196
31,0.5,32,0.6,1.296097192
40,0.5,32,0.6,1.291088281
4,0.6,32,0.6,5.984330285
13,0.6,32,0.6,2.661311944
22,0.6,32,0.6,1.355754731
31,0.6,32,0.6,1.31842103
40,0.6,32,0.6,1.313374993
4,0.7,32,0.6,8.115257817
13,0.7,32,0.6,2.474105217
22,0.7,32,0.6,1.314833569
31,0.7,32,0.6,1.275278045
40,0.7,32,0.6,1.270416183
4,0.2,8,0.8,2.655250025
13,0.2,8,0.8,2.746695066
22,0.2,8,0.8,2.742904726
31,0.2,8,0.8,2.741576586
40,0.2,8,0.8,2.741079176
4,0.3,8,0.8,3.118798134
13,0.3,8,0.8,3.134358691
22,0.3,8,0.8,3.128431363
31,0.3,8,0.8,3.125382224
40,0.3,8,0.8,3.123413242
4,0.4,8,0.8,3.183407467
13,0.4,8,0.8,3.023943139
